<stock list>
AMATA
AP
BBL
CPF
DELTA
EGCO
GLOW
HANA
KKP
KTB
KTC
LPN
PSH
PTTGC
QH
SAMART
SCB
SCC
SIRI
SPALI
STPI
TASCO
TCAP
THANI
THCOM
TISCO
TMB
TTCL
TU
TVO
CK
IFEC
KBANK
LHBANK
ROBINS
