MEGA		25.50	26.25	25.50	25.75	+0.25	+0.98	ATO	26.00	222,601	5,734.90
MINT		18.60	18.90	18.30	18.50	-0.10	-0.54	ATO	ATO	17,791,551	331,510.93
MTC		39.50	42.50	39.50	42.50	+3.25	+8.28	ATO	ATO	14,675,190	602,165.59
ORI		4.80	4.94	4.76	4.88	+0.18	+3.83	4.90	ATO	7,921,120	38,502.63
OSP		37.75	38.50	37.50	37.75	-0.25	-0.66	ATO	36.50	4,231,912	160,279.10
PLANB		3.82	3.96	3.82	3.86	+0.08	+2.12	ATO	3.68	11,611,328	44,979.38
PRM		5.00	5.10	4.96	5.00	+0.04	+0.81	5.00	ATO	2,447,983	12,294.28
PSH		10.60	10.70	10.00	10.20	-0.20	-1.92	ATO	10.10	1,875,279	19,402.10
PSL		3.92	3.92	3.82	3.84	-	-	3.84	3.84	2,449,611	9,481.60
PTG		11.50	11.90	11.30	11.60	-0.10	-0.85	ATO	ATO	7,110,242	82,331.61
PTT		35.00	36.00	34.50	35.25	-0.50	-1.40	ATO	ATO	49,854,223	1,753,605.39
PTTEP		77.75	81.00	77.50	78.75	-1.00	-1.25	ATO	ATO	14,261,809	1,127,956.16
PTTGC		34.50	35.25	34.00	34.75	-	-	ATO	ATO	13,961,092	483,689.03
QH		2.12	2.14	2.10	2.12	-	-	ATO	2.02	7,271,281	15,414.16
RATCH		60.00	60.75	60.00	60.50	+0.50	+0.83	ATO	ATO	1,299,999	78,651.23
RS		9.45	9.70	9.40	9.55	+0.20	+2.14	9.55	9.55	3,347,908	32,010.39
SAWAD		48.25	50.25	48.25	50.00	+2.50	+5.26	ATO	ATO	11,796,031	579,331.66
SCB	XD	73.00	73.00	69.50	70.25	-3.25	-4.42	ATO	ATO	9,653,261	688,826.01
SCC	XD	319.00	323.00	319.00	323.00	+3.00	+0.94	ATO	ATO	606,303	194,619.82
SGP		7.95	7.95	7.80	7.85	+0.05	+0.64	7.85	7.85	942,600	7,448.31
SPALI		16.20	16.40	16.20	16.20	-	-	ATO	15.50	818,220	13,310.96
SPRC		4.86	4.98	4.76	4.80	-0.10	-2.04	ATO	ATO	22,747,350	110,979.81
STA		11.20	11.40	11.00	11.10	-0.10	-0.89	ATO	ATO	4,987,627	56,045.54
STEC		13.50	13.90	13.40	13.60	+0.30	+2.26	ATO	ATO	5,252,597	71,591.61
STPI		4.38	4.92	4.38	4.80	+0.44	+10.09	4.84	4.80	14,766,223	69,861.62
SUPER		0.45	0.47	0.44	0.46	+0.01	+2.22	ATO	0.45	70,329,431	32,028.63
TASCO		17.50	17.90	17.40	17.50	-0.10	-0.57	ATO	16.90	4,065,585	71,599.95
TCAP		37.50	37.75	36.50	37.00	+0.25	+0.68	ATO	ATO	3,566,490	132,646.88
THAI		6.35	6.35	6.35	6.35	+0.80	+14.41	ATO	ATO	3,372,960	21,418.30
THANI		3.52	3.56	3.48	3.56	+0.08	+2.30	ATO	ATO	16,018,542	56,503.87
THG		19.30	19.40	19.20	19.30	-	-	19.30	19.40	48,507	940.02
TISCO		77.25	78.50	76.50	76.75	-0.50	-0.65	ATO	ATO	6,915,562	534,544.98
TKN		6.45	6.60	6.35	6.40	+0.05	+0.79	6.45	ATO	3,802,191	24,553.96
TMB		0.88	0.89	0.85	0.85	-0.03	-3.41	ATO	ATO	117,537,372	102,092.09
TOA		33.75	34.25	33.00	33.00	-0.50	-1.49	ATO	ATO	447,407	14,970.51
TOP		34.50	35.25	34.00	34.50	-1.00	-2.82	ATO	ATO	19,213,444	665,821.41
TPIPP		3.40	3.42	3.34	3.38	-0.02	-0.59	3.54	3.38	4,646,638	15,713.89
TQM		69.25	70.00	68.50	69.50	+1.25	+1.83	69.50	66.25	327,587	22,718.10
TRUE		3.24	3.42	3.20	3.32	+0.10	+3.11	ATO	ATO	380,500,367	1,271,286.05
TTW		13.40	13.40	13.30	13.40	+0.10	+0.75	13.90	12.80	614,373	8,220.33
TU		13.00	13.10	12.90	13.10	+0.20	+1.55	ATO	ATO	3,762,538	48,915.79
VGI		6.50	6.60	6.35	6.40	+0.05	+0.79	ATO	6.20	5,248,857	33,851.49
WHA		2.44	2.50	2.44	2.48	+0.04	+1.64	2.58	ATO	31,715,135	78,461.74
